,name,semester,program_id,credits,hours_lecture,seminar_lecture,estimation_in_diploma,exam,test,description,url
77,Иностранный Язык,11,1,2,0,2,ЛОЖЬ,ЛОЖЬ,ИСТИНА,,
78,Правоведение,11,1,4,2,2,ЛОЖЬ,ЛОЖЬ,ИСТИНА,,
79,Курс по Выбору Студента,11,1,4,0,0,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,,
81,Математический Анализ 1,1,2,8,4,4,FALSE,TRUE,TRUE,,2
82,Алгебра,1,2,6,3,3,TRUE,TRUE,TRUE,,2
83,Аналитическая Геометрия,1,2,8,4,4,TRUE,TRUE,TRUE,,2
84,"Работа на ЭВМ и 
Программирование 1",1,2,3,0,3,FALSE,FALSE,TRUE,,2
85,Общая физика,1,2,3,"1,5","1,5",FALSE,FALSE,TRUE,,2
86,Введение в Cпециальность,2,2,4,2,2,TRUE,FALSE,TRUE,,2
87,Иностранный Язык,2,2,4,2,2,FALSE,FALSE,TRUE,,2
88,Безопасность Жизнедеятельности,2,2,2,1,1,FALSE,FALSE,TRUE,,2
89,Математический Анализ 2,2,2,8,4,4,FALSE,TRUE,TRUE,,2
90,Линейная Алгебра и Геометрия,2,2,8,4,4,TRUE,TRUE,TRUE,,2
91,Наглядная Геометрия и Топология,2,2,2,1,1,FALSE,FALSE,TRUE,,2
92,Работа на ЭВМ и Программирование 2,2,2,5,2,3,FALSE,FALSE,TRUE,,2
93,Общая Физика,2,2,3,"1,5","1,5",TRUE,TRUE,FALSE,,2
94,Иностранный Язык,3,2,4,2,2,FALSE,FALSE,TRUE,,2
95,Математический Анализ 3,3,2,8,4,4,FALSE,FALSE,TRUE,,2
96,Классическая Дифференциальная Геометрия и Топология,3,2,4,2,2,TRUE,TRUE,TRUE,,2
97,Дифференциальные Уравнения,3,2,4,2,2,FALSE,FALSE,TRUE,,2
98,Теоретическая Механика,3,2,6,3,3,FALSE,TRUE,TRUE,,2
99,Работа на ЭВМ и Программирование 3,3,2,5,2,3,TRUE,TRUE,FALSE,,2
100,Практикумы по выбору студента,3,2,1,0,0,TRUE,FALSE,TRUE,,2
101,Иностранный Язык,4,2,4,2,2,FALSE,FALSE,TRUE,,2
